Cantidad,Tiempo 1,Tiempo 2,Tiempo 3,Tiempo 4,Tiempo 5,Promedio Tiempo,Iteración 1,Iteración 2,Iteración 3,Iteración 4,Iteración 5,Promedio Iteración
1000000,0.0,0.0,0.0,0.0,0.0,0.0,13,26,39,53,67,39,
1010000,0.0,0.0,0.0,0.0,0.0,0.0,81,93,105,119,132,106,
1020000,0.0,0.0,0.0,0.0,0.0,0.0,146,159,172,185,199,172,
1030000,0.0,0.0,0.0,0.0,0.0,0.0,210,222,236,250,261,235,
1040000,0.0,0.0,0.0,0.0,0.0,0.0,272,277,290,302,315,291,
1050000,0.0,0.0,0.0,0.0,0.0,0.0,327,340,353,365,378,352,
1060000,0.0,0.0,0.0,0.0,0.0,0.0,389,400,410,423,436,411,
1070000,0.0,0.0,0.0,0.0,0.0,0.0,450,462,476,490,502,476,
1080000,0.0,0.0,0.0,0.0,0.0,0.0,515,527,540,552,564,539,
1090000,0.0,0.0,0.0,0.0,0.0,0.0,576,589,602,615,627,601,
1100000,0.0,0.0,0.0,0.001,0.0,2.0E-4,639,650,663,674,686,662,
1110000,0.0,0.0,0.0,0.0,0.0,0.0,695,708,721,733,746,720,
1120000,0.0,0.0,0.0,0.0,0.0,0.0,758,772,780,794,808,782,
1130000,0.0,0.0,0.0,0.0,0.0,0.0,819,831,844,857,870,844,
1140000,0.0,0.0,0.0,0.0,0.0,0.0,877,887,901,914,927,901,
1150000,0.0,0.0,0.0,0.0,0.0,0.0,941,954,967,981,992,967,
1160000,0.0,0.0,0.0,0.0,0.0,0.0,1004,1017,1031,1043,1056,1030,
1170000,0.0,0.0,0.0,0.0,0.0,0.0,1070,1083,1097,1109,1123,1096,
1180000,0.0,0.0,0.0,0.0,0.0,0.0,1137,1149,1162,1175,1188,1162,
1190000,0.0,0.0,0.0,0.0,0.0,0.0,1201,1215,1227,1240,1253,1227,
1200000,0.0,0.0,0.0,0.0,0.0,0.0,1267,1279,1293,1306,1319,1292,
1210000,0.0,0.0,0.0,0.0,0.0,0.0,1331,1344,1358,1372,1385,1358,
1220000,0.0,0.0,0.0,0.0,0.0,0.0,1399,1412,1424,1437,1448,1424,
