Cantidad,Tiempo 1,Tiempo 2,Tiempo 3,Tiempo 4,Tiempo 5,Promedio Tiempo,Iteración 1,Iteración 2,Iteración 3,Iteración 4,Iteración 5,Promedio Iteración
100000,0.0,0.0,0.0,0.0,0.0,0.0,12,24,37,46,59,35,
105000,0.0,0.0,0.0,0.0,0.0,0.0,67,78,91,104,118,91,
110000,0.0,0.0,0.0,0.0,0.0,0.0,130,141,152,165,178,153,
115000,0.0,0.0,0.0,0.0,0.0,0.0,192,203,217,230,241,216,
120000,0.0,0.0,0.0,0.0,0.0,0.0,254,268,280,293,308,280,
125000,0.0,0.0,0.0,0.0,0.0,0.0,322,335,349,361,374,348,
130000,0.0,0.0,0.0,0.0,0.0,0.0,388,401,413,426,438,413,
135000,0.0,0.0,0.0,0.0,0.0,0.0,452,463,475,488,498,475,
140000,0.0,0.0,0.0,0.0,0.0,0.0,510,524,537,550,564,537,
145000,0.0,0.0,0.0,0.0,0.0,0.0,577,589,603,615,628,602,
150000,0.0,0.0,0.0,0.0,0.0,0.0,642,655,667,680,693,667,
155000,0.0,0.0,0.0,0.0,0.0,0.0,705,718,731,745,758,731,
160000,0.0,0.0,0.0,0.0,0.0,0.0,771,783,794,806,818,794,
165000,0.0,0.0,0.0,0.0,0.0,0.0,832,842,856,869,883,856,
170000,0.0,0.0,0.0,0.0,0.0,0.0,897,910,921,934,948,922,
175000,0.0,0.0,0.0,0.0,0.0,0.0,961,975,987,998,1012,986,
180000,0.0,0.0,0.0,0.0,0.0,0.0,1020,1031,1044,1058,1070,1044,
185000,0.0,0.0,0.0,0.0,0.0,0.0,1081,1094,1107,1120,1133,1107,
190000,0.0,0.0,0.0,0.0,0.0,0.0,1145,1156,1169,1183,1197,1170,
195000,0.0,0.0,0.0,0.0,0.0,0.0,1210,1224,1236,1247,1260,1235,
200000,0.0,0.0,0.0,0.0,0.0,0.0,1272,1285,1298,1312,1325,1298,
205000,0.0,0.0,0.0,0.0,0.0,0.0,1339,1352,1363,1372,1383,1361,
210000,0.0,0.0,0.0,0.0,0.0,0.0,1396,1407,1418,1432,1445,1419,
215000,0.0,0.0,0.0,0.0,0.0,0.0,1456,1469,1482,1495,1504,1481,
220000,0.0,0.0,0.0,0.0,0.0,0.0,1515,1526,1538,1551,1564,1538,
225000,0.0,0.0,0.0,0.0,0.0,0.0,1578,1588,1601,1614,1626,1601,
230000,0.0,0.0,0.0,0.0,0.0,0.0,1639,1652,1665,1679,1689,1664,
235000,0.0,0.0,0.0,0.0,0.0,0.0,1701,1714,1728,1741,1754,1727,
240000,0.0,0.0,0.0,0.0,0.0,0.0,1766,1777,1791,1803,1814,1790,
245000,0.0,0.0,0.0,0.0,0.0,0.0,1825,1837,1851,1864,1878,1851,
250000,0.0,0.0,0.0,0.0,0.0,0.0,1887,1899,1911,1924,1936,1911,
255000,0.0,0.0,0.0,0.0,0.0,0.0,1950,1962,1972,1985,1999,1973,
260000,0.0,0.0,0.0,0.0,0.0,0.0,2013,2025,2038,2051,2063,2038,
265000,0.0,0.0,0.0,0.0,0.0,0.0,2075,2086,2100,2113,2126,2100,
270000,0.0,0.0,0.0,0.0,0.0,0.0,2139,2150,2163,2177,2190,2163,
275000,0.0,0.0,0.0,0.0,0.0,0.0,2203,2215,2228,2240,2253,2227,
280000,0.0,0.0,0.0,0.0,0.0,0.0,2266,2275,2288,2298,2310,2287,
285000,0.0,0.0,0.0,0.0,0.0,0.0,2322,2336,2349,2362,2376,2349,
290000,0.0,0.0,0.0,0.0,0.0,0.0,2385,2398,2411,2424,2437,2411,
295000,0.0,0.0,0.0,0.0,0.0,0.0,2449,2461,2474,2487,2496,2473,
300000,0.0,0.0,0.0,0.0,0.0,0.0,2508,2522,2536,2549,2558,2534,
305000,0.0,0.0,0.0,0.0,0.0,0.0,2570,2581,2595,2608,2621,2595,
310000,0.0,0.0,0.0,0.0,0.0,0.0,2631,2645,2658,2670,2683,2657,
315000,0.0,0.0,0.0,0.0,0.0,0.0,2694,2708,2716,2725,2737,2716,
320000,0.0,0.0,0.0,0.0,0.0,0.0,2750,2764,2772,2781,2794,2772,
325000,0.0,0.0,0.0,0.0,0.0,0.0,2804,2816,2829,2842,2854,2829,
330000,0.0,0.0,0.0,0.0,0.0,0.0,2866,2877,2886,2899,2911,2887,
335000,0.0,0.0,0.0,0.0,0.0,0.0,2922,2935,2941,2950,2959,2941,
340000,0.0,0.0,0.0,0.0,0.0,0.0,2968,2981,2993,3007,3020,2993,
345000,0.0,0.0,0.0,0.0,0.0,0.0,3032,3045,3054,3067,3077,3055,
350000,0.0,0.0,0.0,0.0,0.0,0.0,3090,3104,3113,3126,3136,3113,
355000,0.0,0.0,0.0,0.0,0.0,0.0,3149,3159,3172,3186,3200,3173,
360000,0.0,0.0,0.0,0.0,0.0,0.0,3213,3227,3241,3254,3267,3240,
365000,0.0,0.0,0.0,0.0,0.0,0.0,3280,3292,3302,3315,3327,3303,
370000,0.0,0.0,0.0,0.0,0.0,0.0,3338,3351,3362,3375,3388,3362,
375000,0.0,0.0,0.0,0.0,0.0,0.0,3401,3412,3422,3432,3445,3422,
380000,0.0,0.0,0.0,0.0,0.0,0.0,3459,3472,3484,3496,3509,3484,
385000,0.0,0.0,0.0,0.0,0.0,0.0,3522,3535,3549,3562,3569,3547,
390000,0.0,0.0,0.0,0.0,0.0,0.0,3582,3595,3608,3622,3635,3608,
395000,0.0,0.0,0.0,0.001,0.0,2.0E-4,3648,3661,3674,3684,3691,3671,
400000,0.0,0.0,0.0,0.0,0.0,0.0,3704,3716,3727,3739,3751,3727,
405000,0.0,0.0,0.0,0.0,0.0,0.0,3764,3777,3789,3803,3810,3788,
410000,0.0,0.0,0.0,0.0,0.0,0.0,3822,3833,3842,3854,3863,3842,
415000,0.0,0.0,0.0,0.0,0.0,0.0,3876,3887,3899,3911,3917,3898,
420000,0.0,0.0,0.0,0.0,0.0,0.0,3930,3941,3953,3967,3981,3954,
