Cantidad,Tiempo 1,Tiempo 2,Tiempo 3,Tiempo 4,Tiempo 5,Promedio Tiempo,Iteración 1,Iteración 2,Iteración 3,Iteración 4,Iteración 5,Promedio Iteración
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,
5000,0.024,0.039,0.026,0.025,0.024,0.027599999999999996,6301697,12599179,18817922,25050890,31265376,18807012,
10000,0.107,0.113,0.104,0.128,0.13,0.11640000000000002,56298666,81134039,105904215,130825920,155886512,106009870,
15000,0.312,0.302,0.302,0.31,0.318,0.3088,212320428,268755874,324467551,380579727,436595714,324543858,
20000,0.58,0.592,0.579,0.573,0.591,0.583,537097783,636925369,737129483,836867426,937384919,737080996,
25000,0.922,0.958,0.947,0.989,0.957,0.9545999999999999,1093335884,1249482885,1405587488,1561101672,1716379861,1405177558,
30000,1.41,1.403,1.408,1.452,1.4,1.4146,1941099835,2167212770,2391252421,2617638006,2843624983,2392165603,
35000,1.94,1.956,1.946,1.922,1.945,1.9418,3150351709,3456629833,3762863516,4069509540,4374784471,3762827813,
40000,2.628,2.574,2.558,2.579,2.599,2.5876,4775768902,5176915343,5578263531,5979552988,6380837724,5578267697,
45000,3.343,3.263,3.389,3.318,3.289,3.3204000000000002,6884736725,7390009680,7898554903,8404525685,8908234099,7897212218,
50000,4.111,4.131,4.068,4.142,4.118,4.114,9531304608,10156657792,10779837294,11405520418,12030343359,10780732694,
55000,5.012,5.037,5.024,4.991,4.984,5.009600000000001,12790845236,13553279352,14307331511,15062346817,15817888946,14306338372,
60000,5.995,5.969,6.016,6.066,5.993,6.0078000000000005,16719329099,17620485381,18522819658,19422216169,20319784836,18520927028,
65000,7.024,7.063,7.232,7.132,7.122,7.1146,21372689381,22427809015,23482245760,24543603899,25601319601,23485533531,
70000,8.294,8.289,8.229,8.273,8.293,8.275599999999999,26824986717,28050035789,29278867051,30502640137,31723589846,29276023908,
75000,9.601,9.501,9.629,9.509,9.558,9.5596,33128714771,34534349414,35941019012,37340311373,38742940075,35937466929,
80000,11.306,11.034,11.07,10.99,11.048,11.0896,40348923987,41946496217,43548831481,45142649991,46737037017,43544787738,
85000,12.435,12.438,12.422,12.369,12.454,12.4236,48537902194,50350450576,52156424729,53957774315,55765103812,52153531125,
90000,14.081,14.022,14.033,14.003,14.018,14.031400000000001,57796493419,59826472258,61853645723,63868660275,65889625447,61846979424,
95000,15.769,15.833,15.54,15.434,15.461,15.607399999999998,68151198920,70414979214,72673372009,74936697832,77195380161,72674325627,
100000,17.235,17.063,17.25,17.133,17.128,17.1618,79702902824,82207775912,84711968547,87219896678,89723938557,84713296503,
