Cantidad,Tiempo 1,Tiempo 2,Tiempo 3,Tiempo 4,Tiempo 5,Promedio Tiempo,Iteración 1,Iteración 2,Iteración 3,Iteración 4,Iteración 5,Promedio Iteración
0,0,0,0,0,0,0,0,0,0,0,0,0,
5000,0,0,0,0,0,0,6197252,12453840,18612447,24762655,31011999,18607638,
10000,0,0,0,0,0,0,55936795,81122099,106038356,130823591,155498890,105883946,
15000,0,0,0,0,0,0,211465206,267681758,324000638,379757409,435908649,323762732,
20000,0,0,0,0,0,0,536459485,636074541,736612419,837509554,937298504,736790900,
25000,0,0,0,0,1,0,1093141184,1248572048,1405258995,1560836591,1718150655,1405191894,
30000,1,1,1,1,1,1,1942622153,2168305203,2393437025,2618376167,2844553583,2393458826,
35000,2,2,2,2,2,2,3150330417,3457768384,3762945259,4068766602,4372257189,3762413570,
40000,3,2,2,2,3,2,4774508858,5174773619,5572479833,5972118990,6372602166,5573296693,
45000,3,3,3,3,3,3,6877229603,7382085342,7888318106,8394911840,8901343175,7888777613,
50000,4,4,4,4,4,4,9525727326,10153714633,10776849098,11399376233,12026164957,10776366449,
55000,5,5,5,5,5,5,12784483426,13542253690,14302351074,15062325829,15818450480,14301972899,
60000,6,6,7,6,6,6,16721055423,17616914817,18513736523,19414653067,20309869157,18515245797,
65000,7,7,7,7,7,7,21371556679,22430946886,23487683593,24542184028,25593246959,23485123629,
70000,8,8,8,9,9,8,26815648942,28039930478,29267878974,30494544618,31721950379,29267990678,
75000,10,10,10,10,10,10,33126947071,34532212654,35937050238,37347156112,38757854846,35940244184,
80000,11,11,11,11,11,11,40356029899,41954512899,43552545672,45149755724,46752539262,43553076691,
85000,13,15,14,14,13,13,48558717715,50367774016,52174937568,53972761787,55774939437,52169826104,
90000,15,16,16,17,16,16,57796481764,59824744920,61848444202,63868164417,65894586737,61846484408,
95000,19,21,19,16,16,18,68153339157,70416633124,72665011360,74921988075,77185512919,72668496927,
100000,18,18,18,18,18,18,79683000978,82179156975,84681417927,87173807888,89679938193,84679464392,
