Cantidad,Tiempo 1,Tiempo 2,Tiempo 3,Tiempo 4,Tiempo 5,Promedio Tiempo,Iteración 1,Iteración 2,Iteración 3,Iteración 4,Iteración 5,Promedio Iteración
2000,0,0,0,0,0,0,1328,2652,3982,5322,6655,3987,
7000,0,0,0,0,0,0,11332,16005,20642,25309,30011,20659,
12000,0,0,0,0,0,0,37999,45982,53979,61963,69995,53983,
17000,0,0,0,0,0,0,81308,92605,103960,115295,126634,103960,
22000,0,0,0,0,0,0,141336,155926,170544,185147,199845,170559,
27000,0,0,0,0,0,0,217858,235887,253937,271944,289928,253910,
32000,0,0,0,0,0,0,311274,332631,353958,375221,396522,353921,
37000,0,0,0,0,0,0,421188,445817,470442,495108,519725,470456,
42000,0,0,0,0,0,0,547649,575632,603655,631689,659650,603655,
47000,0,0,0,0,0,0,691000,722360,753739,785139,816482,753744,
52000,0,0,0,0,0,0,851166,885810,920449,955237,989891,920510,
57000,0,0,0,0,0,0,1027896,1065851,1103820,1141812,1179770,1103829,
62000,0,0,0,0,0,0,1221144,1262476,1303899,1345303,1386614,1303887,
67000,0,0,0,0,0,0,1431297,1475945,1520641,1565351,1609993,1520645,
72000,0,0,0,0,0,0,1657951,1705930,1753925,1801897,1849919,1753924,
77000,0,0,0,0,0,0,1901201,1952475,2003777,2055042,2106463,2003791,
82000,0,0,0,0,0,0,2161163,2215860,2270479,2325070,2379686,2270451,
87000,0,0,0,0,0,0,2437630,2495544,2553571,2611584,2669674,2553600,
92000,0,0,0,0,0,0,2730914,2792232,2853619,2914976,2976402,2853628,
97000,0,0,0,0,0,0,3041098,3105749,3170309,3234971,3299578,3170341,
102000,0,0,0,0,0,0,3367676,3435766,3503865,3571886,3639876,3503813,
107000,0,0,0,0,0,0,3711162,3782478,3853738,3925064,3996456,3853779,
