Cantidad,Tiempo 1,Tiempo 2,Tiempo 3,Tiempo 4,Tiempo 5,Promedio Tiempo,Iteración 1,Iteración 2,Iteración 3,Iteración 4,Iteración 5,Promedio Iteración
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,
5000,0.001,0.001,0.001,0.0,0.001,8.0E-4,3351,6683,10037,13368,16681,10024,
10000,0.0,0.0,0.0,0.001,0.001,4.0E-4,23354,30018,36702,43365,50015,36690,
15000,0.001,0.001,0.001,0.001,0.001,0.001,60023,70045,80007,89998,100027,80020,
20000,0.001,0.001,0.001,0.001,0.001,0.001,113414,126772,140156,153477,166752,140114,
25000,0.002,0.002,0.002,0.002,0.002,0.002,183415,200073,216714,233396,250094,216738,
30000,0.002,0.002,0.002,0.004,0.002,0.0024000000000000002,270089,290097,310101,330077,350034,310079,
35000,0.003,0.003,0.003,0.004,0.003,0.0032,373386,396750,420060,443416,466767,420075,
40000,0.002,0.003,0.002,0.003,0.003,0.0026000000000000003,493439,520123,546828,573476,600237,546820,
45000,0.003,0.003,0.003,0.004,0.004,0.0034000000000000002,630217,660223,690222,720240,750192,690218,
50000,0.004,0.003,0.004,0.004,0.004,0.0038,783528,816880,850306,883700,917040,850290,
55000,0.003,0.004,0.004,0.006,0.004,0.004200000000000001,953644,990249,1026933,1063626,1100240,1026938,
60000,0.004,0.005,0.005,0.006,0.004,0.0048000000000000004,1140221,1180180,1220246,1260228,1300231,1220221,
65000,0.005,0.005,0.005,0.004,0.005,0.0048000000000000004,1343560,1386894,1430117,1473504,1516808,1430176,
70000,0.005,0.005,0.005,0.006,0.005,0.0052,1563483,1610253,1656892,1703540,1750304,1656894,
75000,0.006,0.006,0.006,0.006,0.005,0.0058000000000000005,1800303,1850371,1900341,1950377,2000318,1900342,
80000,0.007,0.005,0.006,0.006,0.006,0.006,2053712,2106979,2160326,2213671,2267070,2160351,
85000,0.007,0.006,0.009,0.006,0.007,0.006999999999999999,2323670,2380374,2437001,2493704,2550397,2437029,
90000,0.006,0.01,0.006,0.007,0.006,0.006999999999999999,2610427,2670397,2730469,2790623,2850611,2730505,
95000,0.007,0.0,0.019,0.007,0.007,0.008,2914013,2977311,3040750,3104185,3167473,3040746,
100000,0.009,0.008,0.007,0.008,0.008,0.008,3234069,3300652,3367362,3434087,3500744,3367382,
